"Name","Rating","Tags","Difficulty.f"
"What is Social?","4.6","['Business', 'Marketing']","None"
"Итоговый проект специализации ""Финансовые инструменты для частного инвестора""","4.5","['Business', 'Finance']","None"
"Networking in GCP: Hybrid Connectivity and Network Management","4.8","['Information Technology', 'Networking']","Intermediate Level"
"Managerial Accounting: Cost Behaviors, Systems, and Analysis","4.7","['Business', 'Finance']","None"
"Introduction to English Common Law","4.8","['Social Sciences', 'Law']","Beginner Level"
"Professional Responsibility and Ethics for Accountants","None","['Business', 'Leadership and Management']","None"
"Sustainable Business Enterprises","4.4","['Business', 'Business Strategy']","None"
"Composição: Escrevendo a letra","4.9","['Arts and Humanities', 'Music and Art']","Beginner Level"
"Gestión estratégica de Escuelas en Contextos Rurales","4.9","['Social Sciences', 'Education']","Beginner Level"
"Teaching Impacts of Technology: Workplace of the Future","None","['Social Sciences', 'Education']","Beginner Level"
"Expanded FPGA Training with NIOS II","None","['Physical Science and Engineering', 'Electrical Engineering']","Intermediate Level"
"Anatomy: Cardiovascular, Respiratory and Urinary Systems","4.8","['Health', 'Basic Science']","Beginner Level"
"Water Supply and Sanitation Policy in Developing Countries Part 2: Developing Effective Interventions","4.4","['Social Sciences', 'Governance and Society']","Intermediate Level"
"القيادة الدولية والسلوك التنظيمي","4.8","['Business', 'Leadership and Management']","None"
"Trabaja inteligentemente, no más duro: Gestión del tiempo para la productividad personal y profesional ","4.5","['Business', 'Leadership and Management']","None"
"Application Systems Programming","4.5","['Computer Science', 'Software Development']","Intermediate Level"
"Strategies for winning. Meteorology in a round the world regatta","4.5","['Physical Science and Engineering', 'Physics and Astronomy']","None"
"Estadística y probabilidad","4.7","['Math and Logic', 'Math and Logic']","Beginner Level"
"Универсальные практики влияния","None","['Business', 'Leadership and Management']","Intermediate Level"
"Advanced Business Analytics Capstone","4.4","['Data Science', 'Data Analysis']","None"
"Camera Control","4.8","['Arts and Humanities', 'Music and Art']","None"
"Introdução ao Controle Moderno","4.9","['Physical Science and Engineering', 'Electrical Engineering']","Intermediate Level"
"Building a Data Science Team","4.5","['Data Science', 'Data Analysis']","None"
"Software Design as an Abstraction","4.8","['Computer Science', 'Software Development']","Intermediate Level"
"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Social/Peer Perspective)","4.6","['Health', 'Health Informatics']","Beginner Level"
"Design Thinking for the Greater Good: Innovation in the Social Sector","4.5","['Social Sciences', 'Education']","Beginner Level"
"Multiple Regression Analysis in Public Health","4.7","['Health', 'Health Informatics']","Beginner Level"
"Become a CBRS Certified Professional Installer by Google","4.9","['Information Technology', 'Networking']","None"
"Business intelligence and data warehousing","4.4","['Data Science', 'Data Analysis']","Intermediate Level"
"Supply Chain Finance Market and Fintech Ecosystem","4.5","['Business', 'Finance']","Intermediate Level"
"Studying at Japanese Universities","4.8","['Personal Development', 'Personal Development']","Beginner Level"
"Blended Learning: Personalizing Education for Students","4.7","['Social Sciences', 'Education']","None"
"The Effect of Fires on People, Property and the Environment","4.6","['Physical Science and Engineering', 'Environmental Science and Sustainability']","None"
"Applied Data Science Capstone","4.7","['Data Science', 'Data Analysis']","Intermediate Level"
"Originalité et modernité du mutualisme","4.8","['Business', 'Business Essentials']","Beginner Level"
"The Power of Microeconomics: Economic Principles in the Real World","4.6","['Social Sciences', 'Economics']","None"
"Controle Usando a Resposta em Frequência","4.3","['Physical Science and Engineering', 'Electrical Engineering']","Intermediate Level"
"The Science of Health Care Delivery","4.6","['Health', 'Healthcare Management']","Beginner Level"
"Analizando las Políticas Económicas","4.9","['Social Sciences', 'Economics']","None"
"Corporate Financial Decision-Making for Value Creation","4.7","['Business', 'Finance']","None"
