"Name","Rating","Difficulty_None","Difficulty_Beginner Level","Difficulty_Intermediate Level","Difficulty_Advanced Level","Tags"
"Intro to International Marketing","4.7",1,0,0,0,"['Business', 'Marketing']"
"Physique des particules - une introduction","4.3",0,0,1,0,"['Physical Science and Engineering', 'Physics and Astronomy']"
"Python Programming Essentials","4.8",0,1,0,0,"['Computer Science', 'Software Development']"
"The Blockchain System","None",0,1,0,0,"['Computer Science', 'Algorithms']"
"Юридическое оформление инвестиционных идей","4.6",1,0,0,0,"['Social Sciences', 'Law']"
"Patrick Henry: Forgotten Founder","4.9",0,1,0,0,"['Arts and Humanities', 'History']"
"Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course)","5",1,0,0,0,"['Computer Science', 'Software Development']"
"Doğrusal Cebir I: Uzaylar ve İşlemciler / Linear Algebra I: Spaces and Operators","3.8",1,0,0,0,"['Math and Logic', 'Math and Logic']"
"Hacer negocios con multinacionales y empresas en América Latina","5",0,1,0,0,"['Business', 'Business Strategy']"
"Social Psychology","4.9",0,1,0,0,"['Health', 'Psychology']"
"Elastic Cloud Infrastructure: Scaling and Automation auf Deutsch","None",0,0,1,0,"['Information Technology', 'Cloud Computing']"
"Compreendendo o Zika e doenças emergentes","5",0,0,1,0,"['Health', 'Public Health']"
"Six Sigma Tools for Improve and Control","4.7",0,1,0,0,"['Business', 'Business Essentials']"
"Entrepreneurship I: Laying the Foundation","4.8",1,0,0,0,"['Business', 'Entrepreneurship']"
"Capstone MOOC for ""Android App Development""","4.1",1,0,0,0,"['Computer Science', 'Mobile and Web Development']"
"Introduction to Key Constitutional Concepts and Supreme Court Cases","4.8",0,1,0,0,"['Social Sciences', 'Governance and Society']"
"Corporate Finance Essentials","4.8",1,0,0,0,"['Business', 'Finance']"
"История изобретений и открытий — Вторая история человечества","4.8",0,1,0,0,"['Physical Science and Engineering', 'Research Methods']"
"Accounting and Finance for IT professionals","4.4",0,1,0,0,"['Business', 'Finance']"
"Career planning: Your career, your life","None",1,0,0,0,"['Business', 'Leadership and Management']"
"Financial Accounting Fundamentals","4.8",0,1,0,0,"['Business', 'Business Essentials']"
"Transacting on the Blockchain","4.8",0,0,1,0,"['Business', 'Business Strategy']"
"Gestión de organizaciones efectivas","4.7",1,0,0,0,"['Business', 'Leadership and Management']"
"Basics of Extracellular Vesicles","4.8",0,0,1,0,"['Health', 'Basic Science']"
"Philosophy, Science and Religion: Science and Philosophy","4.4",0,1,0,0,"['Arts and Humanities', 'Philosophy']"
"Understanding Plants - Part I: What a Plant Knows","4.8",0,1,0,0,"['Health', 'Basic Science']"
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning","4.7",0,0,1,0,"['Computer Science', 'Software Development']"
"Changer le monde : passons a l'action (creer son entreprise sociale)","4.5",1,0,0,0,"['Business', 'Business Essentials']"
"Love as a Force for Social Justice","4.7",0,1,0,0,"['Arts and Humanities', 'Philosophy']"
"The Modern World, Part Two: Global History since 1910","4.8",0,1,0,0,"['Arts and Humanities', 'History']"
"Finding Mutations in DNA and Proteins (Bioinformatics VI)","4.6",0,1,0,0,"['Health', 'Health Informatics']"
"Healthcare Data Literacy","4.5",0,0,1,0,"['Health', 'Health Informatics']"
"Introduction to Programming in Swift 5","4.3",0,1,0,0,"['Computer Science', 'Software Development']"
"Programming Mobile Applications for Android Handheld Systems: Part 2","4.7",1,0,0,0,"['Computer Science', 'Mobile and Web Development']"
"Electrodynamics: Analysis of Electric Fields","4.8",0,0,0,1,"['Physical Science and Engineering', 'Electrical Engineering']"
"Contexto de Negocios en LATAM: Factores Políticos, Sociales y Económicos","None",1,0,0,0,"['Business', 'Business Essentials']"
"Epidemics - the Dynamics of Infectious Diseases","4.7",1,0,0,0,"['Health', 'Basic Science']"
"HPV-Associated Oral and Throat Cancer: What You Need to Know","4.7",1,0,0,0,"['Health', 'Basic Science']"
"Elastic Cloud Infrastructure: Scaling and Automation en Français","None",0,0,1,0,"['Information Technology', 'Cloud Computing']"
